iter	RMSE
0	613.8809487
1	601.4142309
2	589.7885262
3	579.0240555
4	567.7764695
5	556.903217
6	547.3881433
7	537.1508206
8	527.0156951
9	517.9078441
10	509.1787977
11	499.4329667
12	490.9303954
13	482.5793909
14	475.3586391
15	466.636605
16	459.366959
17	452.1958065
18	444.2834513
19	437.3135628
20	430.8036254
21	424.2596097
22	418.3046124
23	411.6790991
24	405.5670094
25	399.4001646
26	393.2127906
27	387.2516021
28	380.9749025
29	375.1283861
30	369.7370575
31	364.3690077
32	359.333177
33	354.1608016
34	349.2488039
35	344.4227961
36	340.04463
37	335.609665
38	331.1736381
39	326.9397726
40	322.8090058
41	318.6852171
42	314.4642718
43	310.7531531
44	306.7816984
45	303.1210409
46	299.450108
47	295.7552005
48	292.3030381
49	289.0636176
50	285.9081723
51	282.7744971
52	280.0235428
53	277.0662472
54	274.1128873
55	271.2943545
56	268.4864455
57	265.8890251
58	263.1229846
59	260.6028217
60	258.1051727
61	255.5372987
62	253.1926984
63	250.8696393
64	248.6326079
65	246.4342825
66	244.2680275
67	242.1515464
68	239.9245323
69	237.8813508
70	236.0667759
71	234.1989968
72	232.2807377
73	230.4269509
74	228.591079
75	226.9076004
76	225.0956216
77	223.3820656
78	221.7352714
79	220.1180171
80	218.6682492
81	217.1509748
82	215.3673268
83	213.7856529
84	212.466854
85	211.045754
86	209.7218581
87	208.3302178
88	206.7881817
89	205.2990648
90	204.0348548
91	202.9566383
92	201.7461597
93	200.7093037
94	199.3908486
95	198.2990341
96	197.2390801
97	196.080487
98	195.0483822
99	193.9410588
100	192.9808406
101	191.9173081
102	191.0116265
103	190.2583955
104	189.1858047
105	188.1654533
106	187.1694443
107	186.3165208
108	185.2074942
109	184.4615928
110	183.6953436
111	182.9950668
112	182.3541715
113	181.6584835
114	180.6017956
115	179.6809122
116	178.683604
117	177.6912932
118	176.830143
119	176.0692004
120	175.454075
121	174.5738502
122	173.8117994
123	173.0616697
124	172.2483827
125	171.4548896
126	170.6813689
127	169.9960123
128	169.3503213
129	168.8050737
130	168.1796239
131	167.636346
132	166.942778
133	166.3276376
134	165.6406164
135	165.032687
136	164.5130334
137	163.9103101
138	163.4123452
139	162.8141335
140	162.3339489
141	161.8305815
142	161.086521
143	160.5985348
144	160.0256936
145	159.5619217
146	159.0833005
147	158.5471431
148	158.1027391
149	157.5851227
150	156.9029106
151	156.4858278
152	156.0499041
153	155.6759888
154	155.0103531
155	154.5197298
156	154.0484997
157	153.5729105
158	153.2420129
159	152.7914401
160	152.3861913
161	151.9992438
162	151.5937966
163	151.1966101
164	150.8363149
165	150.516696
166	150.1149696
167	149.7341326
168	149.4182513
169	149.0226815
170	148.6493448
171	148.160067
172	147.8891953
173	147.519367
174	147.2236654
175	146.7743879
176	146.3993698
177	146.1525383
178	145.7760293
179	145.4411394
180	145.0715078
181	144.7917492
182	144.5067072
183	144.1432324
184	143.7968002
185	143.5545966
186	143.3052113
187	142.9967452
188	142.6869126
189	142.315254
190	141.9231737
191	141.6022997
192	141.2617201
193	140.9269556
194	140.6056402
195	140.302142
196	140.0799499
197	139.8546386
198	139.6318122
199	139.323342
200	139.0965015
201	138.7980295
202	138.6462391
203	138.4528511
204	138.2191242
205	137.9762484
206	137.7620598
207	137.4633267
208	137.284026
209	136.9221374
210	136.6128852
211	136.4486925
212	136.19161
213	136.0212244
214	135.853076
215	135.7049128
216	135.3959835
217	135.2601951
218	135.0825442
219	134.8436822
220	134.521278
221	134.2781895
222	133.9474202
223	133.8098384
224	133.5255266
225	133.3656005
226	133.0793483
227	132.8725156
228	132.5943688
229	132.4564353
230	132.1544863
231	131.8245034
232	131.6635001
233	131.509748
234	131.3806355
235	131.1063768
236	130.8383766
237	130.7038117
238	130.5316665
